,state,district,name,party,office_room,phone,committee,page_link
202,Michigan,2nd,"Moolenaar, John",R,246 CHOB,(202) 225-3561,Appropriations|Select Comm on the Strategic Competition US and China,https://moolenaar.house.gov/
203,Michigan,3rd,"Scholten, Hillary",D,1317 LHOB,(202) 225-3831,Transportation and Infrastructure|Small Business,https://scholten.house.gov
204,Michigan,4th,"Huizenga, Bill",R,2232 RHOB,(202) 225-4401,Financial Services|Foreign Affairs,https://huizenga.house.gov/
205,Michigan,5th,"Walberg, Tim",R,2266 RHOB,(202) 225-6276,Education and the Workforce|Energy and Commerce,https://walberg.house.gov/
206,Michigan,6th,"Dingell, Debbie",D,102 CHOB,(202) 225-4071,Energy and Commerce|Natural Resources|Select Subcommittee on the Coronavirus Pandemic,https://debbiedingell.house.gov/
207,Michigan,7th,"Slotkin, Elissa",D,2245 RHOB,(202) 225-4872,Agriculture|Armed Services,https://slotkin.house.gov/
208,Michigan,8th,"Kildee, Daniel",D,200 CHOB,(202) 225-3611,Budget|Ways and Means,https://dankildee.house.gov
209,Michigan,9th,"McClain, Lisa",R,444 CHOB,(202) 225-2106,Armed Services|Budget|Education and the Workforce|Oversight and Accountability,https://mcclain.house.gov
210,Michigan,10th,"James, John",R,1319 LHOB,(202) 225-4961,Foreign Affairs|Energy and Commerce,https://james.house.gov
211,Michigan,11th,"Stevens, Haley",D,2411 RHOB,(202) 225-8171,"Education and the Workforce|Science, Space, and Technology|Select Comm on the Strategic Competition US and China",https://stevens.house.gov/
212,Michigan,12th,"Tlaib, Rashida",D,2438 RHOB,(202) 225-5126,Financial Services|Oversight and Accountability,https://tlaib.house.gov/
213,Michigan,13th,"Thanedar, Shri",D,1039 LHOB,(202) 225-5802,Homeland Security|Small Business,https://thanedar.house.gov
214,Minnesota,1st,"Finstad, Brad",R,1605 LHOB,(202) 225-2472,Agriculture|Armed Services,https://finstad.house.gov/
215,Minnesota,2nd,"Craig, Angie",D,2442 RHOB,(202) 225-2271,Agriculture|Energy and Commerce,https://craig.house.gov
216,Minnesota,3rd,"Phillips, Dean",D,2452 RHOB,(202) 225-2871,Foreign Affairs|Small Business,https://phillips.house.gov/
217,Minnesota,4th,"McCollum, Betty",D,2426 RHOB,(202) 225-6631,Appropriations,https://mccollum.house.gov
218,Minnesota,5th,"Omar, Ilhan",D,1730 LHOB,(202) 225-4755,Budget|Education and the Workforce,https://omar.house.gov/
219,Minnesota,6th,"Emmer, Tom",R,464 CHOB,(202) 225-2331,Financial Services,https://emmer.house.gov/
220,Minnesota,7th,"Fischbach, Michelle",R,1004 LHOB,(202) 225-2165,Budget|Rules|Ethics|Ways and Means,https://fischbach.house.gov
221,Minnesota,8th,"Stauber, Pete",R,145 CHOB,(202) 225-6211,Natural Resources|Transportation and Infrastructure|Small Business,https://stauber.house.gov
222,Mississippi,1st,"Kelly, Trent",R,2243 RHOB,(202) 225-4306,Agriculture|Armed Services|Intelligence,https://trentkelly.house.gov/
223,Mississippi,2nd,"Thompson, Bennie",D,2466 RHOB,(202) 225-5876,Homeland Security,https://benniethompson.house.gov/
224,Mississippi,3rd,"Guest, Michael",R,450 CHOB,(202) 225-5031,Appropriations|Homeland Security|Ethics,https://guest.house.gov
225,Mississippi,4th,"Ezell, Mike",R,443 CHOB,(202) 225-5772,Homeland Security|Transportation and Infrastructure,https://ezell.house.gov
226,Missouri,1st,"Bush, Cori",D,2463 RHOB,(202) 225-2406,Oversight and Accountability|Judiciary,https://bush.house.gov
227,Missouri,2nd,"Wagner, Ann",R,2350 RHOB,(202) 225-1621,Financial Services|Foreign Affairs,https://wagner.house.gov
228,Missouri,3rd,"Luetkemeyer, Blaine",R,2230 RHOB,(202) 225-2956,Financial Services|Small Business|Select Comm on the Strategic Competition US and China,https://luetkemeyer.house.gov/
229,Missouri,4th,"Alford, Mark",R,1516 LHOB,(202) 225-2876,Agriculture|Armed Services|Small Business,https://alford.house.gov
230,Missouri,5th,"Cleaver, Emanuel",D,2217 RHOB,(202) 225-4535,Financial Services,https://cleaver.house.gov
231,Missouri,6th,"Graves, Sam",R,1135 LHOB,(202) 225-7041,Armed Services|Transportation and Infrastructure,https://graves.house.gov/
232,Missouri,7th,"Burlison, Eric",R,1108 LHOB,(202) 225-6536,Education and the Workforce|Oversight and Accountability|Transportation and Infrastructure,https://burlison.house.gov
233,Missouri,8th,"Smith, Jason",R,1011 LHOB,(202) 225-4404,Joint Committee on Taxation|Ways and Means,https://jasonsmith.house.gov
234,Montana,1st,"Zinke, Ryan",R,512 CHOB,(202) 225-5628,Appropriations|Foreign Affairs,https://zinke.house.gov
235,Montana,2nd,"Rosendale, Matthew",R,1023 LHOB,(202) 225-3211,Natural Resources|Veterans' Affairs,https://rosendale.house.gov
236,Nebraska,1st,"Flood, Mike",R,343 CHOB,(202) 225-4806,Financial Services,https://flood.house.gov/
237,Nebraska,2nd,"Bacon, Don",R,2104 RHOB,(202) 225-4155,Agriculture|Armed Services,https://bacon.house.gov
238,Nebraska,3rd,"Smith, Adrian",R,502 CHOB,(202) 225-6435,Joint Committee on Taxation|Ways and Means,https://adriansmith.house.gov/
239,Nevada,1st,"Titus, Dina",D,2464 RHOB,(202) 225-5965,Foreign Affairs|Transportation and Infrastructure,https://titus.house.gov/
240,Nevada,2nd,"Amodei, Mark",R,104 CHOB,(202) 225-6155,Appropriations,https://amodei.house.gov
241,Nevada,3rd,"Lee, Susie",D,365 CHOB,(202) 225-3252,Appropriations|Natural Resources,https://susielee.house.gov
242,Nevada,4th,"Horsford, Steven",D,406 CHOB,(202) 225-9894,Armed Services|Ways and Means,https://horsford.house.gov
243,New Hampshire,1st,"Pappas, Chris",D,452 CHOB,(202) 225-5456,Transportation and Infrastructure|Small Business|Veterans' Affairs,https://pappas.house.gov
244,New Hampshire,2nd,"Kuster, Ann",D,2201 RHOB,(202) 225-5206,Energy and Commerce,https://kuster.house.gov
245,New Jersey,1st,"Norcross, Donald",D,2427 RHOB,(202) 225-6501,Armed Services|Education and the Workforce,https://norcross.house.gov
246,New Jersey,2nd,"Van Drew, Jefferson",R,2447 RHOB,(202) 225-6572,Judiciary|Transportation and Infrastructure,https://vandrew.house.gov
247,New Jersey,3rd,"Kim, Andy",D,2444 RHOB,(202) 225-4765,Armed Services|Foreign Affairs|Select Comm on the Strategic Competition US and China,https://kim.house.gov/
248,New Jersey,4th,"Smith, Christopher",R,2373 RHOB,(202) 225-3765,Foreign Affairs,https://chrissmith.house.gov/
249,New Jersey,5th,"Gottheimer, Josh",D,203 CHOB,(202) 225-4465,Financial Services|Intelligence,https://gottheimer.house.gov
250,New Jersey,6th,"Pallone, Frank",D,2107 RHOB,(202) 225-4671,Energy and Commerce,https://pallone.house.gov
251,New Jersey,7th,"Kean, Thomas",R,251 CHOB,(202) 225-5361,"Foreign Affairs|Transportation and Infrastructure|Science, Space, and Technology",https://kean.house.gov
252,New Jersey,8th,"Menendez, Robert",D,1007 LHOB,(202) 225-7919,Homeland Security|Transportation and Infrastructure,https://menendez.house.gov
254,New Jersey,10th,"McIver, LaMonica",D,106 CHOB,(202) 225-3436,Homeland Security|Small Business,https://mciver.house.gov/
255,New Jersey,11th,"Sherrill, Mikie",D,1427 LHOB,(202) 225-5034,Armed Services|Select Comm on the Strategic Competition US and China,https://sherrill.house.gov/
256,New Jersey,12th,"Watson Coleman, Bonnie",D,168 CHOB,(202) 225-5801,Appropriations,https://watsoncoleman.house.gov/
257,New Mexico,1st,"Stansbury, Melanie",D,1421 LHOB,(202) 225-6316,Oversight and Accountability|Natural Resources,https://stansbury.house.gov/
258,New Mexico,2nd,"Vasquez, Gabe",D,1517 LHOB,(202) 225-2365,Agriculture|Armed Services,https://vasquez.house.gov
259,New Mexico,3rd,"Leger Fernandez, Teresa",D,1510 LHOB,(202) 225-6190,Education and the Workforce|Natural Resources|Rules,https://fernandez.house.gov
260,New York,1st,"LaLota, Nick",R,1530 LHOB,(202) 225-3826,Armed Services|Homeland Security|Small Business,https://lalota.house.gov
261,New York,2nd,"Garbarino, Andrew",R,2344 RHOB,(202) 225-7896,Financial Services|Homeland Security|Ethics,https://garbarino.house.gov
262,New York,3rd,"Suozzi, Thomas R.",D,1117 LHOB,(202) 225-3335,Budget|Homeland Security,https://suozzi.house.gov
263,New York,4th,"D'Esposito, Anthony",R,1508 LHOB,(202) 225-5516,House Administration|Homeland Security|Transportation and Infrastructure,https://desposito.house.gov
264,New York,5th,"Meeks, Gregory",D,2310 RHOB,(202) 225-3461,Financial Services|Foreign Affairs,https://meeks.house.gov
265,New York,6th,"Meng, Grace",D,2209 RHOB,(202) 225-2601,Appropriations,https://meng.house.gov
266,New York,7th,"Velazquez, Nydia",D,2302 RHOB,(202) 225-2361,Financial Services|Natural Resources|Small Business,https://velazquez.house.gov
267,New York,8th,"Jeffries, Hakeem",D,2433 RHOB,(202) 225-5936,,https://jeffries.house.gov
268,New York,9th,"Clarke, Yvette",D,2058 RHOB,(202) 225-6231,Homeland Security|Energy and Commerce,https://clarke.house.gov/
269,New York,10th,"Goldman, Daniel",D,245 CHOB,(202) 225-7944,Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Homeland Security,https://goldman.house.gov
270,New York,11th,"Malliotakis, Nicole",R,351 CHOB,(202) 225-3371,Select Subcommittee on the Coronavirus Pandemic|Ways and Means,https://malliotakis.house.gov
271,New York,12th,"Nadler, Jerrold",D,2132 RHOB,(202) 225-5635,Judiciary,https://nadler.house.gov
272,New York,13th,"Espaillat, Adriano",D,2332 RHOB,(202) 225-4365,Appropriations|Budget,https://espaillat.house.gov
273,New York,14th,"Ocasio-Cortez, Alexandria",D,250 CHOB,(202) 225-3965,Oversight and Accountability|Natural Resources,https://ocasio-cortez.house.gov/
274,New York,15th,"Torres, Ritchie",D,1414 LHOB,(202) 225-4361,Financial Services|Select Comm on the Strategic Competition US and China,https://ritchietorres.house.gov
275,New York,16th,"Bowman, Jamaal",D,345 CHOB,(202) 225-2464,"Education and the Workforce|Science, Space, and Technology",https://bowman.house.gov
276,New York,17th,"Lawler, Michael",R,1013 LHOB,(202) 225-6506,Financial Services|Foreign Affairs,https://lawler.house.gov
277,New York,18th,"Ryan, Patrick",D,1030 LHOB,(202) 225-5614,Armed Services|Transportation and Infrastructure,https://patryan.house.gov/
278,New York,19th,"Molinaro, Marcus",R,1207 LHOB,(202) 225-5441,Agriculture|Transportation and Infrastructure|Small Business,https://molinaro.house.gov
279,New York,20th,"Tonko, Paul",D,2369 RHOB,(202) 225-5076,"Energy and Commerce|Science, Space, and Technology",https://tonko.house.gov/
280,New York,21st,"Stefanik, Elise",R,2211 RHOB,(202) 225-4611,Armed Services|Education and the Workforce|Select Subcommittee on the Weaponization of the Fed Govt|Intelligence,https://stefanik.house.gov/
281,New York,22nd,"Williams, Brandon",R,1022 LHOB,(202) 225-3701,"Education and the Workforce|Transportation and Infrastructure|Science, Space, and Technology",https://brandonwilliams.house.gov
282,New York,23rd,"Langworthy, Nicholas",R,1630 LHOB,(202) 225-3161,Agriculture|Oversight and Accountability|Rules,https://langworthy.house.gov
283,New York,24th,"Tenney, Claudia",R,2349 RHOB,(202) 225-3665,"Science, Space, and Technology|Ways and Means",https://tenney.house.gov/
284,New York,25th,"Morelle, Joseph",D,570 CHOB,(202) 225-3615,Appropriations|House Administration|Joint Committee of Congress on the Library,https://morelle.house.gov
285,New York,26th,"Kennedy, Timothy",D,2269 RHOB,(202) 225-3306,Homeland Security|Veterans' Affairs,https://kennedy.house.gov
286,North Carolina,1st,"Davis, Donald",D,1123 LHOB,(202) 225-3101,Agriculture|Armed Services,https://dondavis.house.gov
287,North Carolina,2nd,"Ross, Deborah",D,1221 LHOB,(202) 225-3032,"Judiciary|Ethics|Science, Space, and Technology|Select Subcommittee on the Coronavirus Pandemic",https://ross.house.gov
288,North Carolina,3rd,"Murphy, Gregory",R,407 CHOB,(202) 225-3415,House Administration|Veterans' Affairs|Ways and Means,https://murphy.house.gov
289,North Carolina,4th,"Foushee, Valerie",D,1716 LHOB,(202) 225-1784,"Transportation and Infrastructure|Science, Space, and Technology",https://foushee.house.gov
290,North Carolina,5th,"Foxx, Virginia",R,2462 RHOB,(202) 225-2071,Education and the Workforce|Oversight and Accountability,https://foxx.house.gov/
291,North Carolina,6th,"Manning, Kathy",D,307 CHOB,(202) 225-3065,Education and the Workforce|Foreign Affairs,https://manning.house.gov
292,North Carolina,7th,"Rouzer, David",R,2333 RHOB,(202) 225-2731,Agriculture|Transportation and Infrastructure,https://rouzer.house.gov/
293,North Carolina,8th,"Bishop, Dan",R,2459 RHOB,(202) 225-1976,Select Subcommittee on the Weaponization of the Fed Govt|Homeland Security|Judiciary,https://danbishop.house.gov
294,North Carolina,9th,"Hudson, Richard",R,2112 RHOB,(202) 225-3715,Energy and Commerce,https://hudson.house.gov
295,North Carolina,10th,"McHenry, Patrick",R,2134 RHOB,(202) 225-2576,Financial Services,https://mchenry.house.gov
296,North Carolina,11th,"Edwards, Chuck",R,1505 LHOB,(202) 225-6401,Appropriations|Budget,https://edwards.house.gov
297,North Carolina,12th,"Adams, Alma",D,2436 RHOB,(202) 225-1510,Agriculture|Education and the Workforce,https://adams.house.gov
298,North Carolina,13th,"Nickel, Wiley",D,1133 LHOB,(202) 225-4531,Financial Services,https://nickel.house.gov
299,North Carolina,14th,"Jackson, Jeff",D,1318 LHOB,(202) 225-5634,"Armed Services|Science, Space, and Technology",https://jeffjackson.house.gov
300,North Dakota,At Large,"Armstrong, Kelly",R,2235 RHOB,(202) 225-2611,Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce|Judiciary,https://armstrong.house.gov
301,Northern Mariana Islands,Delegate,"Sablan, Gregorio",D,2267 RHOB,(202) 225-2646,Education and the Workforce|Natural Resources,https://sablan.house.gov/
302,Ohio,1st,"Landsman, Greg",D,1432 LHOB,(202) 225-2216,Small Business|Veterans' Affairs,https://landsman.house.gov
303,Ohio,2nd,"Wenstrup, Brad",R,2335 RHOB,(202) 225-3164,Intelligence|Select Subcommittee on the Coronavirus Pandemic|Ways and Means,https://wenstrup.house.gov
304,Ohio,3rd,"Beatty, Joyce",D,2079 RHOB,(202) 225-4324,Financial Services,https://beatty.house.gov
305,Ohio,4th,"Jordan, Jim",R,2056 RHOB,(202) 225-2676,Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Judiciary,https://jordan.house.gov/
306,Ohio,5th,"Latta, Robert",R,2467 RHOB,(202) 225-6405,Energy and Commerce,https://latta.house.gov/
307,Ohio,6th,"Rulli, Michael A.",R,2082 RHOB,(202) 225-5705,Education and the Workforce|Judiciary,https://rulli.house.gov
308,Ohio,7th,"Miller, Max",R,143 CHOB,(202) 225-3876,"Agriculture|Science, Space, and Technology",https://maxmiller.house.gov
309,Ohio,8th,"Davidson, Warren",R,2113 RHOB,(202) 225-6205,Financial Services|Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt,https://davidson.house.gov/
310,Ohio,9th,"Kaptur, Marcy",D,2186 RHOB,(202) 225-4146,Appropriations,https://kaptur.house.gov/
311,Ohio,10th,"Turner, Michael",R,2183 RHOB,(202) 225-6465,Armed Services|Oversight and Accountability|Intelligence,https://turner.house.gov/
312,Ohio,11th,"Brown, Shontel",D,449 CHOB,(202) 225-7032,Agriculture|Oversight and Accountability|Select Comm on the Strategic Competition US and China,https://shontelbrown.house.gov
313,Ohio,12th,"Balderson, Troy",R,2429 RHOB,(202) 225-5355,Energy and Commerce,https://balderson.house.gov
314,Ohio,13th,"Sykes, Emilia",D,1217 LHOB,(202) 225-6265,"Transportation and Infrastructure|Science, Space, and Technology",https://sykes.house.gov
315,Ohio,14th,"Joyce, David",R,2065 RHOB,(202) 225-5731,Appropriations|Ethics,https://joyce.house.gov
316,Ohio,15th,"Carey, Mike",R,1433 LHOB,(202) 225-2015,House Administration|Joint Committee of Congress on the Library|Ways and Means,https://carey.house.gov
317,Oklahoma,1st,"Hern, Kevin",R,1019 LHOB,(202) 225-2211,Ways and Means,https://hern.house.gov
318,Oklahoma,2nd,"Brecheen, Josh",R,1208 LHOB,(202) 225-2701,Budget|Homeland Security,https://brecheen.house.gov
319,Oklahoma,3rd,"Lucas, Frank",R,2405 RHOB,(202) 225-5565,"Agriculture|Financial Services|Science, Space, and Technology",https://lucas.house.gov
320,Oklahoma,4th,"Cole, Tom",R,2207 RHOB,(202) 225-6165,Appropriations,https://cole.house.gov
321,Oklahoma,5th,"Bice, Stephanie",R,2437 RHOB,(202) 225-2132,"Appropriations|House Administration|Science, Space, and Technology",https://bice.house.gov
322,Oregon,1st,"Bonamici, Suzanne",D,2231 RHOB,(202) 225-0855,"Education and the Workforce|Science, Space, and Technology",https://bonamici.house.gov
323,Oregon,2nd,"Bentz, Cliff",R,409 CHOB,(202) 225-6730,Natural Resources|Judiciary,https://bentz.house.gov
324,Oregon,3rd,"Blumenauer, Earl",D,1111 LHOB,(202) 225-4811,Budget|Ways and Means,https://blumenauer.house.gov/
325,Oregon,4th,"Hoyle, Val",D,1620 LHOB,(202) 225-6416,Natural Resources|Transportation and Infrastructure,https://hoyle.house.gov
326,Oregon,5th,"Chavez-DeRemer, Lori",R,1722 LHOB,(202) 225-5711,Agriculture|Education and the Workforce|Transportation and Infrastructure,https://chavez-deremer.house.gov
327,Oregon,6th,"Salinas, Andrea",D,109 CHOB,(202) 225-5643,"Agriculture|Science, Space, and Technology",https://salinas.house.gov
328,Pennsylvania,1st,"Fitzpatrick, Brian",R,271 CHOB,(202) 225-4276,Intelligence|Ways and Means,https://fitzpatrick.house.gov/
329,Pennsylvania,2nd,"Boyle, Brendan",D,1502 LHOB,(202) 225-6111,Budget,https://boyle.house.gov/
330,Pennsylvania,3rd,"Evans, Dwight",D,1105 LHOB,(202) 225-4001,Ways and Means,https://evans.house.gov/
331,Pennsylvania,4th,"Dean, Madeleine",D,150 CHOB,(202) 225-4731,Foreign Affairs|Judiciary,https://dean.house.gov
332,Pennsylvania,5th,"Scanlon, Mary",D,1227 LHOB,(202) 225-2011,Judiciary|Rules,https://scanlon.house.gov/
333,Pennsylvania,6th,"Houlahan, Chrissy",D,1727 LHOB,(202) 225-4315,Armed Services|Intelligence,https://houlahan.house.gov/
334,Pennsylvania,7th,"Wild, Susan",D,1027 LHOB,(202) 225-6411,Education and the Workforce|Foreign Affairs|Ethics,https://wild.house.gov
335,Pennsylvania,8th,"Cartwright, Matt",D,2102 RHOB,(202) 225-5546,Appropriations,https://cartwright.house.gov
336,Pennsylvania,9th,"Meuser, Daniel",R,350 CHOB,(202) 225-6511,Financial Services|Small Business,https://meuser.house.gov
337,Pennsylvania,10th,"Perry, Scott",R,2160 RHOB,(202) 225-5836,Foreign Affairs|Oversight and Accountability|Intelligence|Transportation and Infrastructure,https://perry.house.gov/
338,Pennsylvania,11th,"Smucker, Lloyd",R,302 CHOB,(202) 225-2411,Budget|Education and the Workforce|Ways and Means,https://smucker.house.gov/
339,Pennsylvania,12th,"Lee, Summer",D,243 CHOB,(202) 225-2135,"Oversight and Accountability|Science, Space, and Technology",https://summerlee.house.gov
340,Pennsylvania,13th,"Joyce, John",R,152 CHOB,(202) 225-2431,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://johnjoyce.house.gov/
341,Pennsylvania,14th,"Reschenthaler, Guy",R,342 CHOB,(202) 225-2065,Appropriations|Rules,https://reschenthaler.house.gov/
342,Pennsylvania,15th,"Thompson, Glenn",R,400 CHOB,(202) 225-5121,Agriculture|Education and the Workforce,https://thompson.house.gov
343,Pennsylvania,16th,"Kelly, Mike",R,1707 LHOB,(202) 225-5406,Ways and Means,https://kelly.house.gov
344,Pennsylvania,17th,"Deluzio, Christopher",D,1222 LHOB,(202) 225-2301,Armed Services|Transportation and Infrastructure,https://deluzio.house.gov
345,Puerto Rico,Resident Commissioner,"Gonzalez-Colon, Jenniffer",R,2338 RHOB,(202) 225-2615,Natural Resources|Transportation and Infrastructure,https://gonzalez-colon.house.gov
346,Rhode Island,1st,"Amo, Gabe",D,2233 RHOB,(202) 225-4911,"Foreign Affairs|Science, Space, and Technology",https://amo.house.gov
347,Rhode Island,2nd,"Magaziner, Seth",D,1218 LHOB,(202) 225-2735,Homeland Security|Natural Resources,https://magaziner.house.gov
348,South Carolina,1st,"Mace, Nancy",R,1728 LHOB,(202) 225-3176,Armed Services|Oversight and Accountability|Veterans' Affairs,https://mace.house.gov
349,South Carolina,2nd,"Wilson, Joe",R,1436 LHOB,(202) 225-2452,Armed Services|Education and the Workforce|Foreign Affairs,https://joewilson.house.gov/
350,South Carolina,3rd,"Duncan, Jeff",R,2229 RHOB,(202) 225-5301,Energy and Commerce,https://jeffduncan.house.gov/
351,South Carolina,4th,"Timmons, William",R,267 CHOB,(202) 225-6030,Financial Services|Oversight and Accountability,https://timmons.house.gov/
352,South Carolina,5th,"Norman, Ralph",R,569 CHOB,(202) 225-5501,Financial Services|Budget|Rules,https://norman.house.gov
353,South Carolina,6th,"Clyburn, James",D,274 CHOB,(202) 225-3315,,https://clyburn.house.gov/
354,South Carolina,7th,"Fry, Russell",R,1626 LHOB,(202) 225-9895,Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Judiciary,https://fry.house.gov
355,South Dakota,At Large,"Johnson, Dusty",R,1714 LHOB,(202) 225-2801,Agriculture|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://dustyjohnson.house.gov/
356,Tennessee,1st,"Harshbarger, Diana",R,167 CHOB,(202) 225-6356,Energy and Commerce,https://harshbarger.house.gov
357,Tennessee,2nd,"Burchett, Tim",R,1122 LHOB,(202) 225-5435,Foreign Affairs|Oversight and Accountability|Transportation and Infrastructure,https://burchett.house.gov
358,Tennessee,3rd,"Fleischmann, Charles",R,2187 RHOB,(202) 225-3271,"Appropriations|Science, Space, and Technology",https://fleischmann.house.gov/
359,Tennessee,4th,"DesJarlais, Scott",R,2304 RHOB,(202) 225-6831,Agriculture|Armed Services,https://desjarlais.house.gov/
360,Tennessee,5th,"Ogles, Andrew",R,151 CHOB,(202) 225-4311,Financial Services,https://ogles.house.gov
361,Tennessee,6th,"Rose, John",R,2238 RHOB,(202) 225-4231,Agriculture|Financial Services,https://johnrose.house.gov/
362,Tennessee,7th,"Green, Mark",R,2446 RHOB,(202) 225-2811,Foreign Affairs|Homeland Security,https://markgreen.house.gov/
363,Tennessee,8th,"Kustoff, David",R,560 CHOB,(202) 225-4714,Ways and Means,https://kustoff.house.gov
364,Tennessee,9th,"Cohen, Steve",D,2268 RHOB,(202) 225-3265,Judiciary|Transportation and Infrastructure,https://cohen.house.gov/
365,Texas,1st,"Moran, Nathaniel",R,1541 LHOB,(202) 225-3035,Education and the Workforce|Foreign Affairs|Judiciary,https://moran.house.gov
366,Texas,2nd,"Crenshaw, Dan",R,248 CHOB,(202) 225-6565,Energy and Commerce|Intelligence,https://crenshaw.house.gov/
367,Texas,3rd,"Self, Keith",R,1113 LHOB,(202) 225-4201,Foreign Affairs|Veterans' Affairs,https://keithself.house.gov
368,Texas,4th,"Fallon, Pat",R,2416 RHOB,(202) 225-6673,Armed Services|Oversight and Accountability,https://fallon.house.gov
369,Texas,5th,"Gooden, Lance",R,2431 RHOB,(202) 225-3484,Armed Services|Judiciary,https://gooden.house.gov
370,Texas,6th,"Ellzey, Jake",R,1721 LHOB,(202) 225-2002,Appropriations|Small Business,https://ellzey.house.gov/
371,Texas,7th,"Fletcher, Lizzie",D,346 CHOB,(202) 225-2571,Energy and Commerce,https://fletcher.house.gov
372,Texas,8th,"Luttrell, Morgan",R,1320 LHOB,(202) 225-4901,Armed Services|Homeland Security|Veterans' Affairs,https://luttrell.house.gov
373,Texas,9th,"Green, Al",D,2347 RHOB,(202) 225-7508,Financial Services,https://algreen.house.gov
374,Texas,10th,"McCaul, Michael",R,2300 RHOB,(202) 225-2401,Foreign Affairs|Homeland Security,https://mccaul.house.gov
375,Texas,11th,"Pfluger, August",R,1124 LHOB,(202) 225-3605,Homeland Security|Energy and Commerce,https://pfluger.house.gov
376,Texas,12th,"Granger, Kay",R,2308 RHOB,(202) 225-5071,Appropriations,https://kaygranger.house.gov
377,Texas,13th,"Jackson, Ronny",R,446 CHOB,(202) 225-3706,Agriculture|Armed Services|Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,https://jackson.house.gov
378,Texas,14th,"Weber, Randy",R,107 CHOB,(202) 225-2831,"Energy and Commerce|Science, Space, and Technology",https://weber.house.gov
379,Texas,15th,"De La Cruz, Monica",R,1415 LHOB,(202) 225-9901,Agriculture|Financial Services,https://delacruz.house.gov
380,Texas,16th,"Escobar, Veronica",D,2448 RHOB,(202) 225-4831,Armed Services|Judiciary|Ethics,https://escobar.house.gov
381,Texas,17th,"Sessions, Pete",R,2204 RHOB,(202) 225-6105,Financial Services|Oversight and Accountability,https://sessions.house.gov
383,Texas,19th,"Arrington, Jodey",R,1107 LHOB,(202) 225-4005,Budget|Ways and Means,https://arrington.house.gov
384,Texas,20th,"Castro, Joaquin",D,2241 RHOB,(202) 225-3236,Foreign Affairs|Intelligence,https://castro.house.gov
385,Texas,21st,"Roy, Chip",R,103 CHOB,(202) 225-4236,Budget|Judiciary|Rules,https://roy.house.gov
386,Texas,22nd,"Nehls, Troy",R,1104 LHOB,(202) 225-5951,Judiciary|Transportation and Infrastructure,https://nehls.house.gov
387,Texas,23rd,"Gonzales, Tony",R,2244 RHOB,(202) 225-4511,Appropriations|Homeland Security,https://gonzales.house.gov
388,Texas,24th,"Van Duyne, Beth",R,1725 LHOB,(202) 225-6605,Small Business|Ways and Means,https://vanduyne.house.gov
389,Texas,25th,"Williams, Roger",R,2336 RHOB,(202) 225-9896,Financial Services|Small Business,https://williams.house.gov
390,Texas,26th,"Burgess, Michael",R,2161 RHOB,(202) 225-7772,Budget|Energy and Commerce|Rules,https://burgess.house.gov/
391,Texas,27th,"Cloud, Michael",R,171 CHOB,(202) 225-7742,Appropriations|Oversight and Accountability|Select Subcommittee on the Coronavirus Pandemic,https://cloud.house.gov
392,Texas,28th,"Cuellar, Henry",D,2372 RHOB,(202) 225-1640,Appropriations,https://cuellar.house.gov/
393,Texas,29th,"Garcia, Sylvia",D,2419 RHOB,(202) 225-1688,Financial Services|Select Subcommittee on the Weaponization of the Fed Govt,https://sylviagarcia.house.gov/
394,Texas,30th,"Crockett, Jasmine",D,1616 LHOB,(202) 225-8885,Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability,https://crockett.house.gov
395,Texas,31st,"Carter, John",R,2208 RHOB,(202) 225-3864,Appropriations,https://carter.house.gov/
396,Texas,32nd,"Allred, Colin",D,348 CHOB,(202) 225-2231,Foreign Affairs|Transportation and Infrastructure,https://allred.house.gov/
397,Texas,33rd,"Veasey, Marc",D,2348 RHOB,(202) 225-9897,Armed Services|Energy and Commerce,https://veasey.house.gov
398,Texas,34th,"Gonzalez, Vicente",D,154 CHOB,(202) 225-2531,Financial Services,https://gonzalez.house.gov
399,Texas,35th,"Casar, Greg",D,1339 LHOB,(202) 225-5645,Agriculture|Oversight and Accountability,https://casar.house.gov
400,Texas,36th,"Babin, Brian",R,2236 RHOB,(202) 225-1555,"Transportation and Infrastructure|Science, Space, and Technology",https://babin.house.gov
401,Texas,37th,"Doggett, Lloyd",D,2307 RHOB,(202) 225-4865,Budget|Joint Committee on Taxation|Ways and Means,https://doggett.house.gov
402,Texas,38th,"Hunt, Wesley",R,1520 LHOB,(202) 225-5646,Natural Resources|Judiciary|Small Business,https://hunt.house.gov
403,Utah,1st,"Moore, Blake",R,1131 LHOB,(202) 225-0453,Budget|Ways and Means,https://blakemoore.house.gov
404,Utah,2nd,"Maloy, Celeste",R,166 CHOB,(202) 225-9730,Transportation and Infrastructure|Small Business,https://maloy.house.gov
